1000 3030
100 410 2
100 935 2
100 862 -1
101 49 1
101 365 3
102 527 4
103 442 -1
103 734 -3
103 648 -2
103 399 2
103 91 -1
104 531 -4
104 643 -4
104 121 3
104 572 -1
104 787 2
105 978 -4
105 812 -3
105 296 0
106 525 -4
107 12 -3
107 993 1
108 885 -4
108 453 -2
108 687 -2
108 960 -4
109 72 -5
110 208 4
110 349 2
110 764 -4
110 70 -3
110 310 -1
111 685 1
111 240 1
111 797 -5
112 123 -5
112 659 -3
112 110 0
112 969 -2
112 602 -3
113 559 -3
113 564 4
113 12 -5
113 961 -4
113 790 4
114 540 0
114 723 1
115 822 0
115 678 2
115 600 0
115 618 0
116 713 2
117 237 2
118 285 -4
118 562 -1
118 794 -3
118 949 -2
118 308 -4
119 153 -1
119 143 -3
119 909 1
120 641 1
121 194 -5
121 450 3
121 374 -3
122 313 4
122 830 4
123 735 0
123 180 -4
123 988 -2
124 661 -1
124 291 3
124 421 0
125 388 -3
125 30 4
125 543 0
125 554 -4
125 174 4
126 309 -2
126 628 0
127 838 0
127 938 -1
127 760 1
127 984 -1
128 5 -1
128 582 -4
129 448 2
129 115 -5
129 335 3
129 786 -2
130 245 -2
131 375 0
132 564 -3
133 154 -2
134 565 -4
134 943 1
134 346 3
135 989 -2
135 580 -1
135 793 -1
135 192 2
136 813 4
136 854 4
136 901 2
137 784 -4
137 854 0
137 960 1
137 236 0
138 763 1
138 315 4
138 881 -1
138 597 -1
139 603 -2
139 60 4
139 685 -3
140 173 4
141 3 -4
141 309 -2
142 540 -3
142 908 2
142 413 -1
142 624 -5
143 197 -2
143 580 -1
143 504 4
143 443 3
143 378 4
144 858 1
144 615 -4
145 350 -4
145 942 -3
145 247 2
146 29 -4
146 592 -5
146 914 4
146 196 1
147 763 -4
147 622 -1
147 853 4
147 573 -5
147 451 1
148 580 -5
148 333 0
148 9 -2
149 459 -3
149 663 2
149 592 4
149 421 -3
149 481 3
150 327 -5
151 687 4
151 388 1
151 213 4
151 297 0
152 940 -4
153 766 1
154 231 4
154 248 -3
154 60 -2
154 360 1
155 644 1
155 159 -3
155 891 -2
155 921 -2
156 536 4
156 484 -5
156 837 -2
156 804 3
156 274 3
157 48 -1
157 358 -1
157 717 -2
158 324 -5
158 988 -4
158 700 -5
158 712 1
158 384 1
159 326 -1
159 507 -3
159 635 -3
160 917 3
160 576 -4
160 353 -5
161 767 1
162 94 -5
162 93 -2
162 912 1
163 587 1
163 500 2
163 760 3
163 779 3
164 253 -1
164 880 0
164 851 -4
164 308 4
164 394 -5
165 823 -5
165 214 2
166 209 4
166 564 -3
166 641 4
167 458 1
167 841 -4
167 270 1
168 759 3
168 344 -2
168 26 4
168 10 -5
169 990 -5
169 374 2
169 741 -5
169 128 3
169 806 4
170 768 -1
170 967 -4
171 653 2
171 890 3
171 222 -1
171 318 -5
172 692 -3
173 705 -4
174 189 0
175 391 3
175 73 0
175 512 -3
176 244 -3
176 255 -4
176 549 0
177 768 -4
177 64 2
177 303 3
177 425 0
178 828 4
178 457 0
178 49 -3
178 944 -4
178 208 1
179 489 -1
179 171 2
179 623 -2
179 378 -1
179 4 4
180 174 2
181 974 -2
181 985 -1
181 837 3
181 175 3
182 586 3
183 767 0
183 891 0
183 895 -4
183 500 4
183 876 4
184 265 1
184 938 -5
184 836 0
184 299 -4
185 719 1
185 647 3
185 685 -4
185 537 3
186 678 -5
186 840 0
187 863 2
187 900 -5
188 576 2
188 497 -4
188 781 0
188 952 2
188 312 4
189 965 3
189 971 -2
190 921 -5
190 728 1
190 650 -1
191 782 -1
191 583 -5
191 841 4
192 28 -2
192 949 -4
193 865 1
193 847 -4
194 262 2
195 265 -3
195 71 -3
195 786 -3
195 513 -2
196 607 -3
196 343 -4
197 428 1
197 518 -3
197 179 -3
198 1 -4
199 345 1
200 199 -3
200 555 2
200 332 -5
201 106 -3
201 39 4
202 884 -1
202 37 4
202 745 4
202 671 -1
202 947 0
203 327 -4
203 108 -2
203 431 -1
203 44 -5
203 561 4
204 909 -1
204 100 -1
204 668 -2
204 387 4
205 264 4
205 513 -3
205 2 -4
206 352 1
207 908 -3
207 344 -4
207 899 0
208 892 -5
208 58 -1
208 229 -3
209 558 -2
209 420 -3
209 700 0
209 6 4
209 321 -4
210 239 -4
211 222 2
211 722 -4
211 173 -5
211 122 1
212 893 -2
212 152 -1
212 605 2
212 45 -2
212 112 4
213 520 1
213 806 2
214 663 -2
214 73 -5
214 184 3
214 125 0
214 470 -1
215 654 0
216 925 4
216 974 -4
216 224 3
217 266 0
217 623 -2
217 627 -4
218 299 -3
219 616 -2
219 210 1
219 538 -1
219 360 -1
219 441 -5
220 153 2
220 742 4
220 127 -1
220 83 1
221 980 2
221 591 0
221 557 1
221 898 -4
221 934 1
222 276 4
222 635 2
222 916 4
223 420 -5
224 750 -1
225 456 4
225 972 1
225 524 -5
225 565 1
225 415 -5
226 271 0
227 709 -3
227 446 -3
228 54 -5
228 840 -2
228 331 0
228 801 -2
228 305 -1
229 914 4
229 51 -3
229 174 3
229 32 1
230 733 -1
230 272 -3
231 627 0
232 937 -2
232 157 -2
232 643 -2
233 838 -3
233 375 2
233 933 -4
233 633 0
233 153 1
234 175 1
235 494 -3
235 185 1
235 549 0
235 465 1
235 406 -3
236 854 -4
236 768 4
236 975 3
236 581 -1
237 902 4
238 43 0
238 113 0
238 688 2
238 438 1
239 317 -2
240 646 -1
240 194 -4
241 459 -1
241 135 4
241 902 -5
242 910 -1
242 298 1
242 810 2
242 263 -1
243 564 0
244 805 -3
245 693 -2
245 976 0
245 234 4
245 124 3
245 405 -4
246 176 4
246 752 0
247 465 -4
247 275 1
247 484 -4
247 200 1
247 7 -5
248 153 -3
248 429 -3
248 893 -5
248 443 -4
248 32 3
249 483 -3
249 424 -2
249 601 -4
249 974 -2
249 76 -1
250 626 -1
250 823 2
251 809 2
251 788 1
252 477 -1
252 974 -5
252 89 4
252 356 1
253 649 1
253 208 -3
253 223 -5
254 630 -1
254 264 2
254 763 -5
254 695 1
255 326 4
255 630 3
255 939 -4
255 867 -5
256 773 4
256 175 -1
256 253 -3
256 286 1
256 680 3
257 775 -3
258 378 1
258 245 -2
258 274 -3
258 358 2
259 40 3
259 4 3
259 335 -4
260 908 -3
260 792 -4
260 243 -2
260 299 -5
261 221 -2
261 946 2
261 343 -2
261 676 -1
261 731 1
262 599 3
263 398 -4
263 6 4
263 363 -5
263 15 4
263 102 -4
264 592 2
264 692 1
264 878 0
264 334 -1
264 288 -3
265 53 -4
265 724 3
265 627 -2
265 849 -1
266 742 -4
267 435 -3
267 272 -4
268 630 -3
268 278 1
268 776 -5
268 283 3
268 9 -5
269 738 1
270 908 -5
270 136 -5
270 385 0
270 200 2
270 268 -1
271 191 0
271 45 4
271 324 2
271 496 4
271 860 0
272 935 -2
272 470 -1
273 93 -2
273 795 4
273 727 1
273 844 -2
274 362 1
275 482 -3
275 920 -3
275 169 2
275 6 -1
276 504 -3
276 543 2
276 175 -4
276 333 4
276 152 2
277 693 0
277 781 -4
277 628 3
277 429 2
278 299 3
278 991 4
278 956 -5
278 586 0
278 344 4
279 60 -5
279 440 1
279 825 -5
280 26 2
281 26 -4
281 135 -1
281 97 -2
281 929 -1
282 197 -3
282 275 -3
282 396 0
283 742 4
283 738 -2
283 45 0
283 434 -1
284 83 1
285 784 1
285 842 -1
285 71 3
285 316 1
286 612 -2
286 113 1
286 35 -4
286 403 2
287 908 -4
287 838 -1
288 602 0
288 803 1
288 267 0
288 118 -4
288 106 -2
289 497 1
290 493 -4
290 473 3
290 810 4
290 217 -1
291 88 2
291 477 1
291 171 1
291 300 0
291 160 -2
292 967 0
292 153 -2
292 459 -5
293 889 -3
293 852 3
293 258 0
294 462 4
294 992 0
294 947 1
295 46 -3
295 742 -4
295 43 0
295 418 4
296 957 0
297 444 -5
297 407 -5
297 803 -1
297 721 1
298 417 4
298 421 -2
299 492 -2
300 657 -5
300 215 -4
300 558 4
301 894 -1
301 736 0
301 994 -1
302 729 3
303 931 1
303 66 3
303 859 -2
303 240 -5
303 408 2
304 47 -2
304 126 0
304 975 0
304 824 -2
305 650 -3
305 197 -2
305 350 -1
306 429 -2
306 428 -4
306 113 -4
306 433 -3
307 655 1
307 206 1
307 938 -1
307 708 -5
308 875 -3
308 232 2
308 974 -3
309 651 2
310 220 3
311 356 -4
312 38 2
312 825 -3
313 793 0
313 942 3
314 561 -2
314 964 0
314 802 2
314 126 2
314 75 3
315 536 3
315 343 4
316 648 1
316 57 1
316 464 -2
317 390 -1
317 592 -3
317 227 2
317 179 -2
317 678 2
318 403 3
318 748 0
318 954 4
318 182 3
318 617 1
319 219 -5
319 865 -4
319 420 -1
320 826 3
320 548 -5
320 593 4
320 820 -3
320 201 -3
321 932 2
321 743 0
321 426 -3
321 895 -1
321 22 -2
322 226 -4
322 913 -2
322 294 3
323 21 0
323 278 4
323 694 1
324 119 -4
324 292 -1
325 365 1
325 49 3
325 733 0
325 580 1
326 142 -5
326 740 -3
326 191 -4
327 481 2
327 306 2
327 775 2
327 794 -1
327 83 -3
328 39 -5
328 709 1
328 509 -4
328 892 -1
328 262 -1
329 718 2
329 754 2
329 653 -2
329 716 1
330 791 -5
330 147 1
330 135 3
330 315 3
330 868 -3
331 813 2
331 13 3
332 949 -4
332 626 -4
333 975 0
333 836 -1
333 58 3
333 442 -1
334 960 -2
334 980 4
335 541 -4
336 85 -3
336 133 -1
336 448 0
336 235 3
337 717 -5
338 456 2
338 457 -4
338 214 2
339 217 4
339 187 -1
339 431 2
339 653 1
339 506 3
340 512 3
340 902 -2
340 578 0
340 437 -2
340 21 -1
341 380 -1
341 954 4
341 821 3
341 830 -2
341 500 -5
342 916 1
342 616 4
342 838 4
342 136 -5
343 929 4
343 630 2
344 598 3
344 387 0
344 707 -4
345 879 0
345 81 -3
345 794 4
346 97 -2
347 806 -4
347 318 -1
347 694 -3
347 640 0
348 693 -4
349 325 2
350 75 -4
350 440 1
350 426 3
350 387 -1
351 17 -5
351 499 -5
351 892 0
352 266 0
352 525 2
353 910 0
353 159 -4
353 207 4
353 397 -4
353 805 1
354 500 3
354 153 3
355 28 -1
355 888 -3
355 671 4
355 627 4
356 299 0
356 137 3
356 531 -1
356 663 2
357 24 1
357 400 -4
357 987 -3
358 722 -3
358 110 2
359 164 4
359 239 4
360 342 -2
360 958 -5
361 419 2
362 294 -1
362 400 -5
362 980 0
362 497 0
363 54 -3
364 374 -2
364 410 3
364 907 -2
364 734 -5
365 43 -1
365 949 0
366 600 4
366 752 -1
366 373 -4
366 47 1
366 351 3
367 746 4
367 446 0
368 5 4
368 347 3
368 690 4
369 93 -1
369 305 4
369 712 -2
370 33 1
370 209 -3
371 387 4
371 415 -3
371 204 3
372 146 -2
372 340 3
372 630 -1
372 396 -1
373 951 -3
373 295 -1
373 262 2
374 159 0
374 622 -3
374 34 -2
374 951 2
375 531 4
375 184 3
375 730 1
376 322 4
376 581 -3
376 30 2
376 572 -1
376 882 4
377 794 -3
377 910 3
377 352 1
378 826 -4
379 627 -2
379 475 -1
379 942 -2
379 751 -3
380 98 -3
381 656 1
381 744 -5
381 167 -5
381 436 4
382 738 0
382 814 2
382 154 0
382 90 -4
383 237 -2
383 899 4
384 611 -2
384 908 1
384 877 -2
385 188 3
385 195 0
385 924 1
385 777 -2
385 438 1
386 228 -2
386 702 3
386 537 -2
386 885 -3
387 993 3
388 954 -4
388 241 -3
388 869 -2
389 384 0
389 859 2
389 774 -4
389 814 -4
390 151 4
390 364 4
390 586 -5
390 859 -3
390 709 4
391 86 2
391 847 -2
391 670 -5
392 191 -1
392 894 -4
392 804 -2
392 506 1
393 706 2
393 651 2
393 419 -4
394 64 -5
394 912 2
394 87 -4
395 785 1
396 177 4
396 312 4
396 786 -5
397 466 -4
397 711 1
398 375 2
398 118 2
398 414 3
399 920 -5
399 117 -4
399 247 -1
400 538 -5
400 39 -2
400 17 0
400 953 -1
401 81 -1
401 336 1
401 857 0
401 695 -1
401 155 1
402 396 2
402 217 -3
403 553 3
403 809 -2
404 297 -1
404 883 1
405 692 0
405 431 3
405 348 -4
406 123 -4
407 350 1
407 907 0
408 96 3
408 452 1
408 90 2
408 186 -4
408 391 -4
409 46 4
409 613 1
409 51 -4
410 19 -4
410 975 -1
410 136 3
411 720 -4
411 904 4
411 618 -3
411 701 -1
412 464 0
412 378 1
412 592 4
412 726 -1
413 110 3
413 904 4
414 108 -4
414 370 -4
415 819 2
416 957 -3
416 303 3
417 178 4
417 760 3
417 863 -2
418 117 3
418 666 4
418 724 -4
419 463 0
419 401 3
419 381 -1
419 834 -3
420 28 -3
420 349 -3
420 457 -4
421 165 1
421 496 1
421 510 3
422 377 -3
422 386 4
422 208 -2
422 361 -5
423 895 -2
423 593 -4
423 955 -4
423 508 -4
423 958 1
424 750 4
424 620 -2
424 759 -4
424 355 -5
425 719 2
425 968 0
425 566 2
426 392 0
427 415 -5
427 331 -3
428 330 3
429 992 -1
429 795 -5
429 374 -5
429 98 -1
430 495 -2
430 1 2
430 898 3
431 77 0
431 541 -2
431 683 3
431 248 -1
432 985 -1
432 675 -4
432 960 0
433 599 -4
433 110 4
433 637 -4
433 258 -1
434 83 4
434 382 2
435 343 2
436 244 4
436 690 -4
436 316 -5
437 217 -5
437 656 -5
437 718 -5
437 373 0
437 294 1
438 834 -5
438 17 0
438 945 -1
438 377 -2
438 487 1
439 8 -2
439 44 3
439 222 -3
440 4 -4
441 492 -3
442 551 2
442 391 -2
442 183 1
442 428 -2
442 59 3
443 719 2
443 207 1
443 378 1
443 263 -4
444 758 -5
444 371 -1
444 642 -3
444 643 -3
444 253 2
445 117 -1
445 696 -4
445 60 -1
445 587 3
445 887 3
446 811 -4
446 715 4
446 632 -5
446 786 3
447 237 -2
447 363 -5
447 279 3
447 493 -2
448 110 3
449 961 -1
449 742 -2
450 316 -4
451 780 -5
452 937 -3
452 551 -5
452 762 -1
453 619 -3
453 257 1
453 971 -3
453 851 1
453 689 3
454 914 4
454 164 3
454 647 3
454 391 -2
455 720 1
455 790 -4
455 20 2
455 301 2
455 589 1
456 996 -4
456 828 -1
456 554 -4
456 131 -1
456 563 -4
457 440 2
457 296 1
457 176 4
457 408 -1
458 704 3
458 835 -3
459 433 1
459 580 -5
460 544 -3
461 762 -4
461 730 -2
461 792 -5
461 679 -1
461 83 2
462 502 -5
462 732 -4
462 910 0
463 79 3
463 139 4
463 585 -2
463 334 -1
463 335 -2
464 587 4
464 523 0
464 417 -2
465 585 2
465 982 2
465 294 -2
465 573 1
465 118 -3
466 855 4
467 901 -1
467 37 4
467 308 4
467 787 -3
467 423 4
468 835 -4
468 720 -3
468 527 -4
468 908 -4
468 872 4
469 117 -5
469 221 -5
470 878 2
471 3 -2
472 953 2
473 2 -5
474 82 -3
474 848 3
475 638 0
475 430 2
475 43 0
475 444 1
475 422 4
476 662 3
477 115 3
477 673 -1
477 901 4
477 978 1
477 372 3
478 876 3
478 367 -5
478 724 -5
478 560 -3
478 520 3
479 507 4
479 280 -2
480 828 3
480 517 -4
481 858 2
481 586 0
482 374 -3
482 540 -5
482 308 -1
482 943 1
483 342 2
484 784 -4
484 788 -4
484 538 -5
484 289 2
484 560 -1
485 578 -2
485 813 -5
485 575 2
486 499 -5
486 351 -5
487 935 -3
488 404 3
488 878 -1
488 773 2
489 199 0
489 774 0
489 904 -4
489 720 -2
490 146 -4
491 606 -2
491 503 2
492 398 3
492 560 1
492 844 -4
492 441 0
492 331 0
493 445 -5
493 142 -1
494 128 -1
494 716 -1
495 20 1
496 753 4
496 902 0
497 359 -5
498 854 -3
498 864 -2
498 593 -3
498 674 -1
498 656 -5
499 145 -5
499 629 3
499 946 2
499 592 4
499 678 -4
500 133 0
500 522 -5
500 38 4
501 127 -2
502 57 -4
503 684 4
504 754 2
504 533 -1
504 661 -5
504 995 2
505 661 1
505 635 0
505 306 -2
506 725 3
506 72 -3
507 933 1
508 292 -1
509 939 -4
509 531 3
509 993 -1
509 63 3
509 726 -3
510 844 -3
510 624 1
511 221 3
511 770 -4
512 609 -1
512 556 -2
512 32 1
513 984 -2
513 315 -4
513 599 -3
513 341 -3
514 451 2
514 965 -1
514 116 -5
515 45 1
515 412 -1
515 202 -4
516 294 2
516 373 3
516 533 -3
517 470 -1
518 740 1
518 976 -5
518 467 -3
519 898 -1
519 487 -5
519 674 -2
520 567 -2
520 564 -2
521 706 -5
521 239 -3
521 69 2
522 692 0
523 992 -1
523 382 1
524 630 -2
524 934 -3
525 733 3
525 787 -5
525 402 3
525 726 -5
525 631 -2
526 103 -3
527 942 -2
527 833 -4
527 278 1
527 193 -2
528 265 0
529 630 -2
529 868 -5
529 572 -1
529 833 -5
530 384 -1
531 7 1
531 250 -1
532 204 -3
532 985 -4
532 816 0
533 697 0
534 420 0
534 97 -2
534 515 -5
534 432 -4
534 409 -2
535 275 1
536 188 1
536 860 0
536 335 -3
536 940 -3
537 496 3
537 517 2
537 115 3
537 810 -4
538 793 -3
539 442 1
539 200 0
539 264 4
539 351 -5
540 477 -5
540 676 -2
541 772 -5
541 627 -1
541 1000 1
541 935 3
541 635 4
542 251 4
542 9 -4
543 524 -3
543 227 -2
543 151 1
543 248 -1
543 146 2
544 306 -5
544 845 0
544 297 2
544 191 -4
545 91 1
545 943 -1
545 636 -1
545 686 -2
546 259 3
546 654 2
546 13 -2
547 957 4
547 80 -5
548 75 1
548 973 1
548 509 -4
548 259 -5
549 871 2
549 127 -4
549 655 -5
550 164 2
550 872 -1
551 795 -2
551 362 -3
552 167 4
552 608 -4
553 378 -3
554 306 4
554 35 -2
554 624 4
554 517 -5
555 191 -5
555 882 -4
556 666 0
556 420 -3
556 578 2
556 960 2
556 359 -4
557 969 0
557 696 -2
557 133 0
557 47 0
557 88 4
558 632 4
558 208 2
558 193 3
559 352 3
559 539 -5
560 609 -1
560 846 0
560 913 3
561 539 4
561 778 -5
561 969 4
561 557 2
562 47 2
562 680 2
562 520 2
562 220 0
563 797 2
563 373 2
563 708 -4
564 392 -1
565 504 0
565 317 -5
565 525 -1
566 843 0
566 602 -3
566 913 4
566 180 2
566 819 0
567 833 -1
567 352 -3
567 902 -5
567 810 2
567 442 -4
568 998 -3
568 445 -1
568 679 -2
569 258 -5
569 800 3
569 923 -5
570 825 3
570 704 -1
570 95 4
570 746 -1
570 304 -1
571 586 -2
571 600 4
571 99 -3
571 854 2
572 470 -1
573 917 0
573 835 -4
573 141 -5
573 765 -2
573 252 1
574 832 -2
574 90 1
574 70 4
574 410 -5
575 173 0
575 900 -2
575 342 -4
575 242 -1
575 165 4
576 486 0
577 670 -4
578 585 3
578 18 -3
579 623 2
579 394 0
579 895 3
579 762 -1
580 93 -4
580 415 -2
580 525 -4
580 850 -2
580 809 -3
581 353 3
581 368 4
582 1 2
582 874 3
582 198 0
583 300 -2
583 100 0
583 438 3
583 732 -5
583 242 -4
584 206 1
584 775 0
585 266 -2
585 381 0
585 5 4
585 41 3
586 777 3
586 465 -3
587 822 -4
587 760 -2
587 221 -4
588 945 2
588 863 -1
588 939 -4
588 960 -1
588 327 -4
589 841 -1
589 953 -2
589 403 -3
589 899 -1
590 684 2
590 776 -2
590 786 2
591 84 3
591 720 -1
591 801 2
591 890 3
592 75 -2
592 462 1
592 668 -4
593 700 -4
594 195 -3
595 82 -2
596 433 -5
596 251 2
596 68 -3
596 957 -4
597 185 -4
598 557 -5
598 794 3
598 500 2
598 203 3
598 204 2
599 948 3
599 812 1
599 929 0
599 328 2
599 203 -3
600 200 1
600 209 2
600 319 0
601 217 -1
601 299 -2
601 441 0
601 594 3
602 222 3
602 5 4
602 290 2
602 734 0
603 899 1
603 433 -1
604 214 0
604 431 -5
604 279 -2
604 714 0
605 443 1
605 986 1
605 645 -1
606 879 -1
606 782 -5
607 854 2
607 615 -4
607 484 -3
608 651 -3
608 839 -3
608 395 3
608 600 -1
608 376 4
609 215 0
609 967 4
609 101 2
609 534 1
610 751 -5
610 818 4
610 898 4
611 517 4
612 278 0
613 770 -5
613 771 -3
614 187 -4
614 395 -1
614 319 4
614 785 4
615 338 -5
615 295 3
616 658 -2
616 117 -4
616 965 3
616 518 -3
616 99 4
617 396 -2
617 137 0
617 820 -1
617 830 0
617 524 0
618 164 2
618 725 -5
618 922 3
618 304 -5
619 856 -1
619 866 -2
619 485 -2
620 980 1
620 801 1
620 964 3
620 309 -3
620 533 -1
621 978 2
621 168 -1
622 275 -2
622 848 4
623 115 0
623 863 -2
623 445 2
623 815 -3
623 302 3
624 584 2
624 281 -5
625 504 -3
625 172 -2
625 403 4
626 188 0
627 709 2
627 50 0
627 792 -1
627 360 -5
627 272 -2
628 856 3
628 44 -3
629 595 -3
629 81 2
629 560 1
629 862 1
630 130 4
630 353 3
631 307 2
632 478 -4
632 300 0
633 481 -5
633 555 -1
633 561 2
634 698 0
634 890 -4
635 572 0
635 778 3
635 951 -5
636 754 1
636 65 1
636 695 3
636 796 4
636 130 1
637 225 -4
637 328 3
637 868 -1
637 292 -4
638 326 3
639 433 -4
639 316 1
639 222 4
640 421 -5
641 1 -3
641 398 4
641 6 -3
642 376 -1
642 911 2
642 623 4
643 81 1
643 199 3
643 447 3
643 562 -4
643 796 -4
644 922 4
644 163 4
644 770 0
645 931 1
645 577 -1
645 805 3
646 251 1
646 146 -3
647 254 1
647 313 -2
647 892 -2
647 234 1
647 660 2
648 134 4
648 427 3
649 824 -4
649 799 2
650 94 -1
651 362 -3
651 607 2
651 113 -3
651 703 -5
652 828 -1
652 509 -3
653 381 3
653 816 -5
653 376 -3
653 698 2
653 644 -5
654 907 -3
654 299 3
654 561 4
655 815 -2
655 72 -1
655 932 0
655 740 -3
655 964 -2
656 35 -1
656 634 -5
657 46 3
657 121 3
658 792 -1
658 682 -3
659 40 3
659 41 2
660 82 1
660 579 3
660 94 4
660 946 4
660 849 1
661 493 2
661 125 -5
661 423 -5
662 136 0
662 471 2
662 902 1
662 185 1
663 692 -5
663 346 3
663 121 -3
663 341 -2
664 707 2
665 906 0
666 145 -2
666 481 -4
666 176 2
666 403 2
666 299 4
667 120 -4
667 185 -3
667 454 -1
667 748 2
668 160 -2
668 558 2
668 344 0
669 455 2
669 664 -4
669 458 1
669 833 -4
669 279 4
670 481 -2
670 713 1
670 793 -2
671 662 3
671 897 3
671 364 1
671 277 -3
671 90 -4
672 724 -4
672 255 0
672 952 -4
672 22 -5
673 869 -5
673 716 -4
673 236 3
673 977 -3
674 353 -2
674 927 -4
674 742 4
674 87 -4
675 132 -2
675 828 -2
676 263 -4
676 727 -1
676 113 3
677 747 3
677 707 3
678 870 2
679 789 -1
680 359 -4
681 683 1
682 841 -3
682 340 3
682 213 2
682 639 2
682 381 4
683 626 0
683 614 1
683 835 4
683 335 4
684 983 -2
684 38 1
684 215 -3
684 92 1
684 213 1
685 924 -4
685 116 -3
686 75 2
686 103 4
686 655 3
687 127 -2
688 452 -4
688 379 -4
688 55 -3
688 977 -1
688 568 -1
689 613 1
689 256 0
689 64 2
689 521 -2
690 549 -3
691 829 -3
691 387 2
691 975 -2
691 888 -5
692 177 0
692 358 -4
692 525 4
692 944 -4
692 369 -1
693 640 3
693 345 -5
694 565 2
695 995 -5
696 861 -3
696 946 0
696 470 2
696 331 -4
697 799 -4
697 968 3
698 537 -4
698 376 -1
698 371 4
699 152 -2
700 681 -4
700 643 -3
700 546 -5
700 922 0
701 517 1
701 973 2
701 937 -1
701 886 -2
701 116 0
702 580 4
702 369 -5
702 683 2
702 413 -4
703 416 0
704 418 1
704 692 -2
704 451 -3
704 368 1
704 629 3
705 104 2
706 527 4
706 21 -3
706 941 -3
707 784 -3
707 702 0
708 536 2
708 988 4
708 944 -4
708 207 -2
708 612 4
709 308 2
709 937 -2
709 429 -1
709 9 4
710 342 2
711 448 0
711 997 -3
711 831 4
711 916 -5
712 843 1
712 661 4
712 16 -2
712 569 2
713 112 3
713 801 -2
713 148 2
713 420 0
714 152 4
715 457 -3
715 802 3
715 975 -5
715 572 -2
715 330 0
716 700 -3
716 494 1
716 263 -3
716 404 -1
717 575 -1
717 984 3
717 956 -1
718 264 1
718 952 2
719 605 2
719 881 -4
